index,quote,author,tags,likes
0,Be yourself; everyone else is already taken.,Oscar Wilde,attributed-no-source;be-yourself;honesty;inspirational;misattributed-oscar-wilde,149270
1,You've gotta dance like there's nobody watching,William W. Purkey,dance;heaven;hurt;inspirational;life;love;sing,118888
2,Be the change that you wish to see in the world.,Mahatma Gandhi,action;change;inspirational;philosophy;wish,106749
3,No one can make you feel inferior without your consent.,"Eleanor Roosevelt,",confidence;inspirational;wisdom,85854
4,Live as if you were to die tomorrow. Learn as if you were to live forever.,Mahatma Gandhi,carpe-diem;education;inspirational;learning,73033
5,Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,"Martin Luther King Jr.,",darkness;drive-out;hate;inspirational;light;love;peace,72616
6,"Without music, life would be a mistake.","Friedrich Nietzsche,",inspirational;music;philosophy,67297
7,We accept the love we think we deserve.,"Stephen Chbosky,",inspirational;love,66047
8,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Marilyn Monroe,attributed-no-source;be-yourself;inspirational,48176
9,There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Albert Einstein,attributed-no-source;inspirational;life;live;miracle;miracles,47424
10,"We are all in the gutter, but some of us are looking at the stars.","Oscar Wilde,",inspirational;optimism;perception;pessimism,42886
11,"Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.","Neil Gaiman,",books;dragons;fairy-tales;inspirational;paraphrasing-g-k-chesterton,42352
12,"Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.",Bill Keane,attributed-no-source;hope;inspirational;misattributed-eleanor-roosevelt;past;present;widely-misattributed,41144
13,"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,edison;failure;inspirational;paraphrased,40193
14,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",Elie Wiesel,activism;apathy;hate;indifference;inspirational;love;opposite;philosophy,39330
15,I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.,Albert Einstein,1929;imagination;inspirational;viereck-interview,36447
16,You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...,"Dr. Seuss,",inspirational,33253
17,It is never too late to be what you might have been.,George Eliot,inspirational;source-unknown,31772
18,"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.",Marilyn Monroe,attributed-no-source;friends;heartbreak;inspirational;life;love;sisters,31258
19,There is no greater agony than bearing an untold story inside you.,"Maya Angelou,",1970;inspirational;stories;writing,29148
20,Everything you can imagine is real.,Pablo Picasso,art;imagination;inspirational;life,28223
